关卡,关卡序号,配置序号,单位名称,单位原生ID,单位等级,标签,装备槽,装备中文名,装备原生ID,配置路径
ch12,12,2,斯温,npc_dota_hero_sven,16,hero,1,动力鞋,item_power_treads,levels/ch12/enemies/2/items/1
ch12,12,2,斯温,npc_dota_hero_sven,16,hero,2,回音战刃,item_echo_sabre,levels/ch12/enemies/2/items/2
ch12,12,2,斯温,npc_dota_hero_sven,16,hero,3,闪烁匕首,item_blink,levels/ch12/enemies/2/items/3
ch12,12,2,斯温,npc_dota_hero_sven,16,hero,4,黑皇杖,item_black_king_bar,levels/ch12/enemies/2/items/4
ch12,12,3,莉娜,npc_dota_hero_lina,16,hero,1,奥术鞋,item_arcane_boots,levels/ch12/enemies/3/items/1
ch12,12,3,莉娜,npc_dota_hero_lina,16,hero,2,散慧对剑,item_kaya_and_sange,levels/ch12/enemies/3/items/2
ch12,12,3,莉娜,npc_dota_hero_lina,16,hero,3,阿哈利姆神杖,item_ultimate_scepter,levels/ch12/enemies/3/items/3
ch12,12,3,莉娜,npc_dota_hero_lina,16,hero,4,黑皇杖,item_black_king_bar,levels/ch12/enemies/3/items/4
ch12,12,4,莱恩,npc_dota_hero_lion,16,hero,1,奥术鞋,item_arcane_boots,levels/ch12/enemies/4/items/1
ch12,12,4,莱恩,npc_dota_hero_lion,16,hero,2,闪烁匕首,item_blink,levels/ch12/enemies/4/items/2
ch12,12,4,莱恩,npc_dota_hero_lion,16,hero,3,原力法杖,item_force_staff,levels/ch12/enemies/4/items/3
ch12,12,4,莱恩,npc_dota_hero_lion,16,hero,4,微光披风,item_glimmer_cape,levels/ch12/enemies/4/items/4
ch13,13,1,钢背兽,npc_dota_hero_bristleback,17,hero,1,相位鞋,item_phase_boots,levels/ch13/enemies/1/items/1
ch13,13,1,钢背兽,npc_dota_hero_bristleback,17,hero,2,血精石,item_bloodstone,levels/ch13/enemies/1/items/2
ch13,13,1,钢背兽,npc_dota_hero_bristleback,17,hero,3,散夜对剑,item_sange_and_yasha,levels/ch13/enemies/1/items/3
ch13,13,1,钢背兽,npc_dota_hero_bristleback,17,hero,4,清莲宝珠,item_lotus_orb,levels/ch13/enemies/1/items/4
ch13,13,2,剃刀,npc_dota_hero_razor,17,hero,1,动力鞋,item_power_treads,levels/ch13/enemies/2/items/1
ch13,13,2,剃刀,npc_dota_hero_razor,17,hero,2,夜叉,item_yasha,levels/ch13/enemies/2/items/2
ch13,13,2,剃刀,npc_dota_hero_razor,17,hero,3,黑皇杖,item_black_king_bar,levels/ch13/enemies/2/items/3
ch13,13,2,剃刀,npc_dota_hero_razor,17,hero,4,撒旦之邪力,item_satanic,levels/ch13/enemies/2/items/4
ch13,13,3,冥界亚龙,npc_dota_hero_viper,17,hero,1,动力鞋,item_power_treads,levels/ch13/enemies/3/items/1
ch13,13,3,冥界亚龙,npc_dota_hero_viper,17,hero,2,魔龙枪,item_dragon_lance,levels/ch13/enemies/3/items/2
ch13,13,3,冥界亚龙,npc_dota_hero_viper,17,hero,3,夜叉,item_yasha,levels/ch13/enemies/3/items/3
ch13,13,3,冥界亚龙,npc_dota_hero_viper,17,hero,4,黑皇杖,item_black_king_bar,levels/ch13/enemies/3/items/4
ch13,13,4,暗影萨满,npc_dota_hero_shadow_shaman,17,hero,1,奥术鞋,item_arcane_boots,levels/ch13/enemies/4/items/1
ch13,13,4,暗影萨满,npc_dota_hero_shadow_shaman,17,hero,2,闪烁匕首,item_blink,levels/ch13/enemies/4/items/2
ch13,13,4,暗影萨满,npc_dota_hero_shadow_shaman,17,hero,3,以太透镜,item_aether_lens,levels/ch13/enemies/4/items/3
ch13,13,4,暗影萨满,npc_dota_hero_shadow_shaman,17,hero,4,黑皇杖,item_black_king_bar,levels/ch13/enemies/4/items/4
ch14,14,1,斯拉达,npc_dota_hero_slardar,18,hero,1,动力鞋,item_power_treads,levels/ch14/enemies/1/items/1
ch14,14,1,斯拉达,npc_dota_hero_slardar,18,hero,2,闪烁匕首,item_blink,levels/ch14/enemies/1/items/2
ch14,14,1,斯拉达,npc_dota_hero_slardar,18,hero,3,回音战刃,item_echo_sabre,levels/ch14/enemies/1/items/3
ch14,14,1,斯拉达,npc_dota_hero_slardar,18,hero,4,黑皇杖,item_black_king_bar,levels/ch14/enemies/1/items/4
ch14,14,1,斯拉达,npc_dota_hero_slardar,18,hero,5,阿哈利姆神杖,item_ultimate_scepter,levels/ch14/enemies/1/items/5
ch14,14,2,露娜,npc_dota_hero_luna,18,hero,1,动力鞋,item_power_treads,levels/ch14/enemies/2/items/1
ch14,14,2,露娜,npc_dota_hero_luna,18,hero,2,夜叉,item_yasha,levels/ch14/enemies/2/items/2
ch14,14,2,露娜,npc_dota_hero_luna,18,hero,3,黑皇杖,item_black_king_bar,levels/ch14/enemies/2/items/3
ch14,14,2,露娜,npc_dota_hero_luna,18,hero,4,蝴蝶,item_butterfly,levels/ch14/enemies/2/items/4
ch14,14,2,露娜,npc_dota_hero_luna,18,hero,5,撒旦之邪力,item_satanic,levels/ch14/enemies/2/items/5
ch14,14,3,矮人直升机,npc_dota_hero_gyrocopter,18,hero,1,动力鞋,item_power_treads,levels/ch14/enemies/3/items/1
ch14,14,3,矮人直升机,npc_dota_hero_gyrocopter,18,hero,2,阿哈利姆神杖,item_ultimate_scepter,levels/ch14/enemies/3/items/2
ch14,14,3,矮人直升机,npc_dota_hero_gyrocopter,18,hero,3,漩涡,item_maelstrom,levels/ch14/enemies/3/items/3
ch14,14,3,矮人直升机,npc_dota_hero_gyrocopter,18,hero,4,黑皇杖,item_black_king_bar,levels/ch14/enemies/3/items/4
ch14,14,3,矮人直升机,npc_dota_hero_gyrocopter,18,hero,5,代达罗斯之殇,item_greater_crit,levels/ch14/enemies/3/items/5
ch14,14,4,术士,npc_dota_hero_warlock,18,hero,1,奥术鞋,item_arcane_boots,levels/ch14/enemies/4/items/1
ch14,14,4,术士,npc_dota_hero_warlock,18,hero,2,微光披风,item_glimmer_cape,levels/ch14/enemies/4/items/2
ch14,14,4,术士,npc_dota_hero_warlock,18,hero,3,阿哈利姆神杖,item_ultimate_scepter,levels/ch14/enemies/4/items/3
ch14,14,4,术士,npc_dota_hero_warlock,18,hero,4,原力法杖,item_force_staff,levels/ch14/enemies/4/items/4
ch14,14,4,术士,npc_dota_hero_warlock,18,hero,5,黑皇杖,item_black_king_bar,levels/ch14/enemies/4/items/5
ch15,15,1,冥魂大帝,npc_dota_hero_skeleton_king,19,elite,1,相位鞋,item_phase_boots,levels/ch15/enemies/1/items/1
ch15,15,1,冥魂大帝,npc_dota_hero_skeleton_king,19,elite,2,莫尔迪基安的臂章,item_armlet,levels/ch15/enemies/1/items/2
ch15,15,1,冥魂大帝,npc_dota_hero_skeleton_king,19,elite,3,辉耀,item_radiance,levels/ch15/enemies/1/items/3
ch15,15,1,冥魂大帝,npc_dota_hero_skeleton_king,19,elite,4,闪烁匕首,item_blink,levels/ch15/enemies/1/items/4
ch15,15,1,冥魂大帝,npc_dota_hero_skeleton_king,19,elite,5,黑皇杖,item_black_king_bar,levels/ch15/enemies/1/items/5
ch15,15,2,血魔,npc_dota_hero_bloodseeker,19,hero,1,动力鞋,item_power_treads,levels/ch15/enemies/2/items/1
ch15,15,2,血魔,npc_dota_hero_bloodseeker,19,hero,2,漩涡,item_maelstrom,levels/ch15/enemies/2/items/2
ch15,15,2,血魔,npc_dota_hero_bloodseeker,19,hero,3,碎颅锤,item_basher,levels/ch15/enemies/2/items/3
ch15,15,2,血魔,npc_dota_hero_bloodseeker,19,hero,4,黑皇杖,item_black_king_bar,levels/ch15/enemies/2/items/4
ch15,15,2,血魔,npc_dota_hero_bloodseeker,19,hero,5,蝴蝶,item_butterfly,levels/ch15/enemies/2/items/5
ch15,15,3,斯拉克,npc_dota_hero_slark,19,hero,1,动力鞋,item_power_treads,levels/ch15/enemies/3/items/1
ch15,15,3,斯拉克,npc_dota_hero_slark,19,hero,2,净魂之刃,item_diffusal_blade,levels/ch15/enemies/3/items/2
ch15,15,3,斯拉克,npc_dota_hero_slark,19,hero,3,阿哈利姆神杖,item_ultimate_scepter,levels/ch15/enemies/3/items/3
ch15,15,3,斯拉克,npc_dota_hero_slark,19,hero,4,黑皇杖,item_black_king_bar,levels/ch15/enemies/3/items/4
ch15,15,3,斯拉克,npc_dota_hero_slark,19,hero,5,斯嘉蒂之眼,item_skadi,levels/ch15/enemies/3/items/5
ch15,15,4,巨魔战将,npc_dota_hero_troll_warlord,19,hero,1,动力鞋,item_power_treads,levels/ch15/enemies/4/items/1
ch15,15,4,巨魔战将,npc_dota_hero_troll_warlord,19,hero,2,狂战斧,item_bfury,levels/ch15/enemies/4/items/2
ch15,15,4,巨魔战将,npc_dota_hero_troll_warlord,19,hero,3,夜叉,item_yasha,levels/ch15/enemies/4/items/3
ch15,15,4,巨魔战将,npc_dota_hero_troll_warlord,19,hero,4,黑皇杖,item_black_king_bar,levels/ch15/enemies/4/items/4
ch15,15,4,巨魔战将,npc_dota_hero_troll_warlord,19,hero,5,撒旦之邪力,item_satanic,levels/ch15/enemies/4/items/5
ch15,15,5,杰奇洛,npc_dota_hero_jakiro,19,hero,1,奥术鞋,item_arcane_boots,levels/ch15/enemies/5/items/1
ch15,15,5,杰奇洛,npc_dota_hero_jakiro,19,hero,2,原力法杖,item_force_staff,levels/ch15/enemies/5/items/2
ch15,15,5,杰奇洛,npc_dota_hero_jakiro,19,hero,3,微光披风,item_glimmer_cape,levels/ch15/enemies/5/items/3
ch15,15,5,杰奇洛,npc_dota_hero_jakiro,19,hero,4,Eul的神圣法杖,item_cyclone,levels/ch15/enemies/5/items/4
ch15,15,5,杰奇洛,npc_dota_hero_jakiro,19,hero,5,阿哈利姆神杖,item_ultimate_scepter,levels/ch15/enemies/5/items/5
ch17,17,1,噬魂鬼,npc_dota_hero_life_stealer,21,hero,1,相位鞋,item_phase_boots,levels/ch17/enemies/1/items/1
ch17,17,1,噬魂鬼,npc_dota_hero_life_stealer,21,hero,2,莫尔迪基安的臂章,item_armlet,levels/ch17/enemies/1/items/2
ch17,17,1,噬魂鬼,npc_dota_hero_life_stealer,21,hero,3,辉耀,item_radiance,levels/ch17/enemies/1/items/3
ch17,17,1,噬魂鬼,npc_dota_hero_life_stealer,21,hero,4,散夜对剑,item_sange_and_yasha,levels/ch17/enemies/1/items/4
ch17,17,1,噬魂鬼,npc_dota_hero_life_stealer,21,hero,5,碎颅锤,item_basher,levels/ch17/enemies/1/items/5
ch17,17,2,熊战士,npc_dota_hero_ursa,21,hero,1,相位鞋,item_phase_boots,levels/ch17/enemies/2/items/1
ch17,17,2,熊战士,npc_dota_hero_ursa,21,hero,2,狂战斧,item_bfury,levels/ch17/enemies/2/items/2
ch17,17,2,熊战士,npc_dota_hero_ursa,21,hero,3,闪烁匕首,item_blink,levels/ch17/enemies/2/items/3
ch17,17,2,熊战士,npc_dota_hero_ursa,21,hero,4,黑皇杖,item_black_king_bar,levels/ch17/enemies/2/items/4
ch17,17,2,熊战士,npc_dota_hero_ursa,21,hero,5,碎颅锤,item_basher,levels/ch17/enemies/2/items/5
ch17,17,3,敌法师,npc_dota_hero_antimage,21,hero,1,动力鞋,item_power_treads,levels/ch17/enemies/3/items/1
ch17,17,3,敌法师,npc_dota_hero_antimage,21,hero,2,狂战斧,item_bfury,levels/ch17/enemies/3/items/2
ch17,17,3,敌法师,npc_dota_hero_antimage,21,hero,3,夜叉,item_yasha,levels/ch17/enemies/3/items/3
ch17,17,3,敌法师,npc_dota_hero_antimage,21,hero,4,碎颅锤,item_basher,levels/ch17/enemies/3/items/4
ch17,17,3,敌法师,npc_dota_hero_antimage,21,hero,5,斯嘉蒂之眼,item_skadi,levels/ch17/enemies/3/items/5
ch17,17,4,幻影长矛手,npc_dota_hero_phantom_lancer,21,hero,1,动力鞋,item_power_treads,levels/ch17/enemies/4/items/1
ch17,17,4,幻影长矛手,npc_dota_hero_phantom_lancer,21,hero,2,净魂之刃,item_diffusal_blade,levels/ch17/enemies/4/items/2
ch17,17,4,幻影长矛手,npc_dota_hero_phantom_lancer,21,hero,3,阿哈利姆神杖,item_ultimate_scepter,levels/ch17/enemies/4/items/3
ch17,17,4,幻影长矛手,npc_dota_hero_phantom_lancer,21,hero,4,夜叉,item_yasha,levels/ch17/enemies/4/items/4
ch17,17,4,幻影长矛手,npc_dota_hero_phantom_lancer,21,hero,5,斯嘉蒂之眼,item_skadi,levels/ch17/enemies/4/items/5
ch17,17,5,干扰者,npc_dota_hero_disruptor,21,hero,1,奥术鞋,item_arcane_boots,levels/ch17/enemies/5/items/1
ch17,17,5,干扰者,npc_dota_hero_disruptor,21,hero,2,闪烁匕首,item_blink,levels/ch17/enemies/5/items/2
ch17,17,5,干扰者,npc_dota_hero_disruptor,21,hero,3,微光披风,item_glimmer_cape,levels/ch17/enemies/5/items/3
ch17,17,5,干扰者,npc_dota_hero_disruptor,21,hero,4,阿哈利姆神杖,item_ultimate_scepter,levels/ch17/enemies/5/items/4
ch17,17,5,干扰者,npc_dota_hero_disruptor,21,hero,5,原力法杖,item_force_staff,levels/ch17/enemies/5/items/5
ch18,18,1,混沌骑士,npc_dota_hero_chaos_knight,22,hero,1,动力鞋,item_power_treads,levels/ch18/enemies/1/items/1
ch18,18,1,混沌骑士,npc_dota_hero_chaos_knight,22,hero,2,莫尔迪基安的臂章,item_armlet,levels/ch18/enemies/1/items/2
ch18,18,1,混沌骑士,npc_dota_hero_chaos_knight,22,hero,3,闪烁匕首,item_blink,levels/ch18/enemies/1/items/3
ch18,18,1,混沌骑士,npc_dota_hero_chaos_knight,22,hero,4,幻影斧,item_manta,levels/ch18/enemies/1/items/4
ch18,18,1,混沌骑士,npc_dota_hero_chaos_knight,22,hero,5,黑皇杖,item_black_king_bar,levels/ch18/enemies/1/items/5
ch18,18,1,混沌骑士,npc_dota_hero_chaos_knight,22,hero,6,恐鳌之心,item_heart,levels/ch18/enemies/1/items/6
ch18,18,2,圣堂刺客,npc_dota_hero_templar_assassin,22,hero,1,动力鞋,item_power_treads,levels/ch18/enemies/2/items/1
ch18,18,2,圣堂刺客,npc_dota_hero_templar_assassin,22,hero,2,黯灭,item_desolator,levels/ch18/enemies/2/items/2
ch18,18,2,圣堂刺客,npc_dota_hero_templar_assassin,22,hero,3,闪烁匕首,item_blink,levels/ch18/enemies/2/items/3
ch18,18,2,圣堂刺客,npc_dota_hero_templar_assassin,22,hero,4,黑皇杖,item_black_king_bar,levels/ch18/enemies/2/items/4
ch18,18,2,圣堂刺客,npc_dota_hero_templar_assassin,22,hero,5,代达罗斯之殇,item_greater_crit,levels/ch18/enemies/2/items/5
ch18,18,2,圣堂刺客,npc_dota_hero_templar_assassin,22,hero,6,飓风长戟,item_hurricane_pike,levels/ch18/enemies/2/items/6
ch18,18,3,影魔,npc_dota_hero_nevermore,22,hero,1,动力鞋,item_power_treads,levels/ch18/enemies/3/items/1
ch18,18,3,影魔,npc_dota_hero_nevermore,22,hero,2,飓风长戟,item_hurricane_pike,levels/ch18/enemies/3/items/2
ch18,18,3,影魔,npc_dota_hero_nevermore,22,hero,3,幻影斧,item_manta,levels/ch18/enemies/3/items/3
ch18,18,3,影魔,npc_dota_hero_nevermore,22,hero,4,黑皇杖,item_black_king_bar,levels/ch18/enemies/3/items/4
ch18,18,3,影魔,npc_dota_hero_nevermore,22,hero,5,代达罗斯之殇,item_greater_crit,levels/ch18/enemies/3/items/5
ch18,18,3,影魔,npc_dota_hero_nevermore,22,hero,6,撒旦之邪力,item_satanic,levels/ch18/enemies/3/items/6
ch18,18,4,死亡先知,npc_dota_hero_death_prophet,22,hero,1,奥术鞋,item_arcane_boots,levels/ch18/enemies/4/items/1
ch18,18,4,死亡先知,npc_dota_hero_death_prophet,22,hero,2,风之杖,item_wind_waker,levels/ch18/enemies/4/items/2
ch18,18,4,死亡先知,npc_dota_hero_death_prophet,22,hero,3,黑皇杖,item_black_king_bar,levels/ch18/enemies/4/items/3
ch18,18,4,死亡先知,npc_dota_hero_death_prophet,22,hero,4,散慧对剑,item_kaya_and_sange,levels/ch18/enemies/4/items/4
ch18,18,4,死亡先知,npc_dota_hero_death_prophet,22,hero,5,希瓦的守护,item_shivas_guard,levels/ch18/enemies/4/items/5
ch18,18,4,死亡先知,npc_dota_hero_death_prophet,22,hero,6,玲珑心,item_octarine_core,levels/ch18/enemies/4/items/6
ch18,18,5,复仇之魂,npc_dota_hero_vengefulspirit,22,hero,1,奥术鞋,item_arcane_boots,levels/ch18/enemies/5/items/1
ch18,18,5,复仇之魂,npc_dota_hero_vengefulspirit,22,hero,2,原力法杖,item_force_staff,levels/ch18/enemies/5/items/2
ch18,18,5,复仇之魂,npc_dota_hero_vengefulspirit,22,hero,3,微光披风,item_glimmer_cape,levels/ch18/enemies/5/items/3
ch18,18,5,复仇之魂,npc_dota_hero_vengefulspirit,22,hero,4,清莲宝珠,item_lotus_orb,levels/ch18/enemies/5/items/4
ch18,18,5,复仇之魂,npc_dota_hero_vengefulspirit,22,hero,5,阿哈利姆神杖,item_ultimate_scepter,levels/ch18/enemies/5/items/5
ch18,18,5,复仇之魂,npc_dota_hero_vengefulspirit,22,hero,6,永恒之盘,item_aeon_disk,levels/ch18/enemies/5/items/6
ch19,19,1,暗夜魔王,npc_dota_hero_night_stalker,23,hero,1,相位鞋,item_phase_boots,levels/ch19/enemies/1/items/1
ch19,19,1,暗夜魔王,npc_dota_hero_night_stalker,23,hero,2,闪烁匕首,item_blink,levels/ch19/enemies/1/items/2
ch19,19,1,暗夜魔王,npc_dota_hero_night_stalker,23,hero,3,鱼叉,item_harpoon,levels/ch19/enemies/1/items/3
ch19,19,1,暗夜魔王,npc_dota_hero_night_stalker,23,hero,4,黑皇杖,item_black_king_bar,levels/ch19/enemies/1/items/4
ch19,19,1,暗夜魔王,npc_dota_hero_night_stalker,23,hero,5,否决坠饰,item_nullifier,levels/ch19/enemies/1/items/5
ch19,19,1,暗夜魔王,npc_dota_hero_night_stalker,23,hero,6,强袭胸甲,item_assault,levels/ch19/enemies/1/items/6
ch19,19,2,瘟疫法师,npc_dota_hero_necrolyte,23,hero,1,奥术鞋,item_arcane_boots,levels/ch19/enemies/2/items/1
ch19,19,2,瘟疫法师,npc_dota_hero_necrolyte,23,hero,2,辉耀,item_radiance,levels/ch19/enemies/2/items/2
ch19,19,2,瘟疫法师,npc_dota_hero_necrolyte,23,hero,3,散慧对剑,item_kaya_and_sange,levels/ch19/enemies/2/items/3
ch19,19,2,瘟疫法师,npc_dota_hero_necrolyte,23,hero,4,黑皇杖,item_black_king_bar,levels/ch19/enemies/2/items/4
ch19,19,2,瘟疫法师,npc_dota_hero_necrolyte,23,hero,5,恐鳌之心,item_heart,levels/ch19/enemies/2/items/5
ch19,19,2,瘟疫法师,npc_dota_hero_necrolyte,23,hero,6,希瓦的守护,item_shivas_guard,levels/ch19/enemies/2/items/6
ch19,19,3,痛苦女王,npc_dota_hero_queenofpain,23,hero,1,动力鞋,item_power_treads,levels/ch19/enemies/3/items/1
ch19,19,3,痛苦女王,npc_dota_hero_queenofpain,23,hero,2,散慧对剑,item_kaya_and_sange,levels/ch19/enemies/3/items/2
ch19,19,3,痛苦女王,npc_dota_hero_queenofpain,23,hero,3,阿哈利姆神杖,item_ultimate_scepter,levels/ch19/enemies/3/items/3
ch19,19,3,痛苦女王,npc_dota_hero_queenofpain,23,hero,4,黑皇杖,item_black_king_bar,levels/ch19/enemies/3/items/4
ch19,19,3,痛苦女王,npc_dota_hero_queenofpain,23,hero,5,希瓦的守护,item_shivas_guard,levels/ch19/enemies/3/items/5
ch19,19,3,痛苦女王,npc_dota_hero_queenofpain,23,hero,6,玲珑心,item_octarine_core,levels/ch19/enemies/3/items/6
ch19,19,4,拉席克,npc_dota_hero_leshrac,23,hero,1,奥术鞋,item_arcane_boots,levels/ch19/enemies/4/items/1
ch19,19,4,拉席克,npc_dota_hero_leshrac,23,hero,2,血精石,item_bloodstone,levels/ch19/enemies/4/items/2
ch19,19,4,拉席克,npc_dota_hero_leshrac,23,hero,3,闪烁匕首,item_blink,levels/ch19/enemies/4/items/3
ch19,19,4,拉席克,npc_dota_hero_leshrac,23,hero,4,散慧对剑,item_kaya_and_sange,levels/ch19/enemies/4/items/4
ch19,19,4,拉席克,npc_dota_hero_leshrac,23,hero,5,黑皇杖,item_black_king_bar,levels/ch19/enemies/4/items/5
ch19,19,4,拉席克,npc_dota_hero_leshrac,23,hero,6,希瓦的守护,item_shivas_guard,levels/ch19/enemies/4/items/6
