关卡,关卡序号,关卡名称,配置序号,单位类型,单位名称,单位原生ID,数量,等级,AI类型,AI说明,标签,是否Boss,模板,生命倍率,攻击倍率,额外护甲,魔法抗性%,状态抗性%,Boss最大生命,Boss生命倍率,Boss攻击伤害+%,Boss额外护甲,Boss最终魔抗目标%,Boss魔抗乘算加成%,Boss法术增幅+%,Boss冷却减少%,装备数量,装备合计（中文）,装备合计（原生ID）,配置路径,装备1（中文）,装备1（原生ID）,装备2（中文）,装备2（原生ID）,装备3（中文）,装备3（原生ID）,装备4（中文）,装备4（原生ID）,装备5（中文）,装备5（原生ID）,装备6（中文）,装备6（原生ID）
ch04,4,第04关 · 野怪讨伐,3,野怪,食人魔拳手,npc_dota_neutral_ogre_mauler,2,5,simple_nearest,最近目标（野怪）,,否,standard,1.35,1.2,3,28,3,,,,,,,,,0,,,levels/ch04/enemies/3,,,,,,,,,,,,
ch04,4,第04关 · 野怪讨伐,4,野怪,豺狼刺客,npc_dota_neutral_gnoll_assassin,1,5,simple_nearest,最近目标（野怪）,,否,standard,1.35,1.2,3,28,3,,,,,,,,,0,,,levels/ch04/enemies/4,,,,,,,,,,,,
ch05,5,第05关 · 精英检查,1,英雄,斧王,npc_dota_hero_axe,1,8,aggro_front,前排近距攻击,elite,否,,,,,,,,,,,,,,,3,相位鞋；闪烁匕首；魔杖,item_phase_boots；item_blink；item_magic_wand,levels/ch05/enemies/1,相位鞋,item_phase_boots,闪烁匕首,item_blink,魔杖,item_magic_wand,,,,,,
ch05,5,第05关 · 精英检查,2,英雄,卓尔游侠,npc_dota_hero_drow_ranger,1,8,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,3,动力鞋；魔龙枪；魔杖,item_power_treads；item_dragon_lance；item_magic_wand,levels/ch05/enemies/2,动力鞋,item_power_treads,魔龙枪,item_dragon_lance,魔杖,item_magic_wand,,,,,,
ch05,5,第05关 · 精英检查,3,英雄,水晶室女,npc_dota_hero_crystal_maiden,1,8,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,3,奥术鞋；微光披风；魔杖,item_arcane_boots；item_glimmer_cape；item_magic_wand,levels/ch05/enemies/3,奥术鞋,item_arcane_boots,微光披风,item_glimmer_cape,魔杖,item_magic_wand,,,,,,
ch06,6,第06关 · 野怪讨伐,1,野怪,豺狼刺客,npc_dota_neutral_gnoll_assassin,3,8,simple_nearest,最近目标（野怪）,,否,standard,1.6,1.35,5,30,5,,,,,,,,,0,,,levels/ch06/enemies/1,,,,,,,,,,,,
ch06,6,第06关 · 野怪讨伐,2,野怪,黑暗巨魔首领,npc_dota_neutral_dark_troll_warlord,2,8,focus_lowest_hp,优先最低生命,,否,specialist,1.6,1.35,5,30,5,,,,,,,,,0,,,levels/ch06/enemies/2,,,,,,,,,,,,
ch06,6,第06关 · 野怪讨伐,3,野怪,极地熊怪勇士,npc_dota_neutral_polar_furbolg_champion,1,8,aggro_front,前排近距攻击,,否,elite,1.6,1.35,5,30,5,,,,,,,,,0,,,levels/ch06/enemies/3,,,,,,,,,,,,
ch07,7,第07关 · 英雄遭遇,1,英雄,龙骑士,npc_dota_hero_dragon_knight,1,10,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,4,动力鞋；闪烁匕首；莫尔迪基安的臂章；魔杖,item_power_treads；item_blink；item_armlet；item_magic_wand,levels/ch07/enemies/1,动力鞋,item_power_treads,闪烁匕首,item_blink,莫尔迪基安的臂章,item_armlet,魔杖,item_magic_wand,,,,
ch07,7,第07关 · 英雄遭遇,2,英雄,狙击手,npc_dota_hero_sniper,1,10,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,4,动力鞋；漩涡；魔龙枪；魔杖,item_power_treads；item_maelstrom；item_dragon_lance；item_magic_wand,levels/ch07/enemies/2,动力鞋,item_power_treads,漩涡,item_maelstrom,魔龙枪,item_dragon_lance,魔杖,item_magic_wand,,,,
ch07,7,第07关 · 英雄遭遇,3,英雄,巫医,npc_dota_hero_witch_doctor,1,10,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,4,奥术鞋；微光披风；阿哈利姆神杖；魔杖,item_arcane_boots；item_glimmer_cape；item_ultimate_scepter；item_magic_wand,levels/ch07/enemies/3,奥术鞋,item_arcane_boots,微光披风,item_glimmer_cape,阿哈利姆神杖,item_ultimate_scepter,魔杖,item_magic_wand,,,,
ch08,8,第08关 · 英雄遭遇,1,英雄,哈斯卡,npc_dota_hero_huskar,1,11,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,4,动力鞋；莫尔迪基安的臂章；天堂之戟；魔杖,item_power_treads；item_armlet；item_heavens_halberd；item_magic_wand,levels/ch08/enemies/1,动力鞋,item_power_treads,莫尔迪基安的臂章,item_armlet,天堂之戟,item_heavens_halberd,魔杖,item_magic_wand,,,,
ch08,8,第08关 · 英雄遭遇,2,英雄,克林克兹,npc_dota_hero_clinkz,1,11,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,4,动力鞋；黯灭；魔龙枪；魔杖,item_power_treads；item_desolator；item_dragon_lance；item_magic_wand,levels/ch08/enemies/2,动力鞋,item_power_treads,黯灭,item_desolator,魔龙枪,item_dragon_lance,魔杖,item_magic_wand,,,,
ch08,8,第08关 · 英雄遭遇,3,英雄,神谕者,npc_dota_hero_oracle,1,11,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,4,奥术鞋；微光披风；闪烁匕首；魔杖,item_arcane_boots；item_glimmer_cape；item_blink；item_magic_wand,levels/ch08/enemies/3,奥术鞋,item_arcane_boots,微光披风,item_glimmer_cape,闪烁匕首,item_blink,魔杖,item_magic_wand,,,,
ch09,9,第09关 · 英雄遭遇,1,英雄,沙王,npc_dota_hero_sand_king,1,12,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,4,奥术鞋；闪烁匕首；阿哈利姆神杖；魔杖,item_arcane_boots；item_blink；item_ultimate_scepter；item_magic_wand,levels/ch09/enemies/1,奥术鞋,item_arcane_boots,闪烁匕首,item_blink,阿哈利姆神杖,item_ultimate_scepter,魔杖,item_magic_wand,,,,
ch09,9,第09关 · 英雄遭遇,2,英雄,幻影刺客,npc_dota_hero_phantom_assassin,1,12,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,4,动力鞋；黯灭；碎颅锤；魔杖,item_power_treads；item_desolator；item_basher；item_magic_wand,levels/ch09/enemies/2,动力鞋,item_power_treads,黯灭,item_desolator,碎颅锤,item_basher,魔杖,item_magic_wand,,,,
ch09,9,第09关 · 英雄遭遇,3,英雄,戴泽,npc_dota_hero_dazzle,1,12,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,4,奥术鞋；微光披风；原力法杖；魔杖,item_arcane_boots；item_glimmer_cape；item_force_staff；item_magic_wand,levels/ch09/enemies/3,奥术鞋,item_arcane_boots,微光披风,item_glimmer_cape,原力法杖,item_force_staff,魔杖,item_magic_wand,,,,
ch10,10,第10关 · 章节 Boss,1,英雄,半人马战行者,npc_dota_hero_centaur,1,14,aggro_front,前排近距攻击,boss,是,,,,,,,6000,,16.666667,,,,16.666667,4.166667,4,相位鞋；闪烁匕首；恐鳌之心；洞察烟斗,item_phase_boots；item_blink；item_heart；item_pipe,levels/ch10/enemies/1,相位鞋,item_phase_boots,闪烁匕首,item_blink,恐鳌之心,item_heart,洞察烟斗,item_pipe,,,,
ch11,11,第11关 · 野怪讨伐,1,野怪,岩石傀儡,npc_dota_neutral_rock_golem,3,15,simple_nearest,最近目标（野怪）,,否,standard,4.5,2.5,20,55,10,,,,,,,,,0,,,levels/ch11/enemies/1,,,,,,,,,,,,
ch11,11,第11关 · 野怪讨伐,2,野怪,寒冰萨满,npc_dota_neutral_ice_shaman,2,15,focus_lowest_hp,优先最低生命,,否,specialist,4.5,2.5,20,55,10,,,,,,,,,0,,,levels/ch11/enemies/2,,,,,,,,,,,,
ch11,11,第11关 · 野怪讨伐,3,野怪,花岗岩傀儡,npc_dota_neutral_granite_golem,1,15,aggro_front,前排近距攻击,,否,elite,4.5,2.5,20,55,10,,,,,,,,,0,,,levels/ch11/enemies/3,,,,,,,,,,,,
ch11,11,第11关 · 野怪讨伐,4,野怪,黑蜉蝣,npc_dota_neutral_black_drake,1,15,simple_nearest,最近目标（野怪）,,否,minion,4.5,2.5,20,55,10,,,,,,,,,0,,,levels/ch11/enemies/4,,,,,,,,,,,,
ch12,12,第12关 · 英雄遭遇,1,英雄,潮汐猎人,npc_dota_hero_tidehunter,1,16,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,4,奥术鞋；闪烁匕首；阿哈利姆神杖；洞察烟斗,item_arcane_boots；item_blink；item_ultimate_scepter；item_pipe,levels/ch12/enemies/1,奥术鞋,item_arcane_boots,闪烁匕首,item_blink,阿哈利姆神杖,item_ultimate_scepter,洞察烟斗,item_pipe,,,,
ch12,12,第12关 · 英雄遭遇,2,英雄,斯温,npc_dota_hero_sven,1,16,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,4,动力鞋；回音战刃；闪烁匕首；黑皇杖,item_power_treads；item_echo_sabre；item_blink；item_black_king_bar,levels/ch12/enemies/2,动力鞋,item_power_treads,回音战刃,item_echo_sabre,闪烁匕首,item_blink,黑皇杖,item_black_king_bar,,,,
ch12,12,第12关 · 英雄遭遇,3,英雄,莉娜,npc_dota_hero_lina,1,16,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,4,奥术鞋；散慧对剑；阿哈利姆神杖；黑皇杖,item_arcane_boots；item_kaya_and_sange；item_ultimate_scepter；item_black_king_bar,levels/ch12/enemies/3,奥术鞋,item_arcane_boots,散慧对剑,item_kaya_and_sange,阿哈利姆神杖,item_ultimate_scepter,黑皇杖,item_black_king_bar,,,,
ch12,12,第12关 · 英雄遭遇,4,英雄,莱恩,npc_dota_hero_lion,1,16,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,4,奥术鞋；闪烁匕首；原力法杖；微光披风,item_arcane_boots；item_blink；item_force_staff；item_glimmer_cape,levels/ch12/enemies/4,奥术鞋,item_arcane_boots,闪烁匕首,item_blink,原力法杖,item_force_staff,微光披风,item_glimmer_cape,,,,
ch13,13,第13关 · 英雄遭遇,1,英雄,钢背兽,npc_dota_hero_bristleback,1,17,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,4,相位鞋；血精石；散夜对剑；清莲宝珠,item_phase_boots；item_bloodstone；item_sange_and_yasha；item_lotus_orb,levels/ch13/enemies/1,相位鞋,item_phase_boots,血精石,item_bloodstone,散夜对剑,item_sange_and_yasha,清莲宝珠,item_lotus_orb,,,,
ch13,13,第13关 · 英雄遭遇,2,英雄,剃刀,npc_dota_hero_razor,1,17,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,4,动力鞋；夜叉；黑皇杖；撒旦之邪力,item_power_treads；item_yasha；item_black_king_bar；item_satanic,levels/ch13/enemies/2,动力鞋,item_power_treads,夜叉,item_yasha,黑皇杖,item_black_king_bar,撒旦之邪力,item_satanic,,,,
ch13,13,第13关 · 英雄遭遇,3,英雄,冥界亚龙,npc_dota_hero_viper,1,17,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,4,动力鞋；魔龙枪；夜叉；黑皇杖,item_power_treads；item_dragon_lance；item_yasha；item_black_king_bar,levels/ch13/enemies/3,动力鞋,item_power_treads,魔龙枪,item_dragon_lance,夜叉,item_yasha,黑皇杖,item_black_king_bar,,,,
ch13,13,第13关 · 英雄遭遇,4,英雄,暗影萨满,npc_dota_hero_shadow_shaman,1,17,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,4,奥术鞋；闪烁匕首；以太透镜；黑皇杖,item_arcane_boots；item_blink；item_aether_lens；item_black_king_bar,levels/ch13/enemies/4,奥术鞋,item_arcane_boots,闪烁匕首,item_blink,以太透镜,item_aether_lens,黑皇杖,item_black_king_bar,,,,
ch14,14,第14关 · 英雄遭遇,1,英雄,斯拉达,npc_dota_hero_slardar,1,18,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,5,动力鞋；闪烁匕首；回音战刃；黑皇杖；阿哈利姆神杖,item_power_treads；item_blink；item_echo_sabre；item_black_king_bar；item_ultimate_scepter,levels/ch14/enemies/1,动力鞋,item_power_treads,闪烁匕首,item_blink,回音战刃,item_echo_sabre,黑皇杖,item_black_king_bar,阿哈利姆神杖,item_ultimate_scepter,,
ch14,14,第14关 · 英雄遭遇,2,英雄,露娜,npc_dota_hero_luna,1,18,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,5,动力鞋；夜叉；黑皇杖；蝴蝶；撒旦之邪力,item_power_treads；item_yasha；item_black_king_bar；item_butterfly；item_satanic,levels/ch14/enemies/2,动力鞋,item_power_treads,夜叉,item_yasha,黑皇杖,item_black_king_bar,蝴蝶,item_butterfly,撒旦之邪力,item_satanic,,
ch14,14,第14关 · 英雄遭遇,3,英雄,矮人直升机,npc_dota_hero_gyrocopter,1,18,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,5,动力鞋；阿哈利姆神杖；漩涡；黑皇杖；代达罗斯之殇,item_power_treads；item_ultimate_scepter；item_maelstrom；item_black_king_bar；item_greater_crit,levels/ch14/enemies/3,动力鞋,item_power_treads,阿哈利姆神杖,item_ultimate_scepter,漩涡,item_maelstrom,黑皇杖,item_black_king_bar,代达罗斯之殇,item_greater_crit,,
ch14,14,第14关 · 英雄遭遇,4,英雄,术士,npc_dota_hero_warlock,1,18,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,5,奥术鞋；微光披风；阿哈利姆神杖；原力法杖；黑皇杖,item_arcane_boots；item_glimmer_cape；item_ultimate_scepter；item_force_staff；item_black_king_bar,levels/ch14/enemies/4,奥术鞋,item_arcane_boots,微光披风,item_glimmer_cape,阿哈利姆神杖,item_ultimate_scepter,原力法杖,item_force_staff,黑皇杖,item_black_king_bar,,
ch15,15,第15关 · 精英检查,1,英雄,冥魂大帝,npc_dota_hero_skeleton_king,1,19,aggro_front,前排近距攻击,elite,否,,,,,,,,,,,,,,,5,相位鞋；莫尔迪基安的臂章；辉耀；闪烁匕首；黑皇杖,item_phase_boots；item_armlet；item_radiance；item_blink；item_black_king_bar,levels/ch15/enemies/1,相位鞋,item_phase_boots,莫尔迪基安的臂章,item_armlet,辉耀,item_radiance,闪烁匕首,item_blink,黑皇杖,item_black_king_bar,,
ch15,15,第15关 · 精英检查,2,英雄,血魔,npc_dota_hero_bloodseeker,1,19,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,5,动力鞋；漩涡；碎颅锤；黑皇杖；蝴蝶,item_power_treads；item_maelstrom；item_basher；item_black_king_bar；item_butterfly,levels/ch15/enemies/2,动力鞋,item_power_treads,漩涡,item_maelstrom,碎颅锤,item_basher,黑皇杖,item_black_king_bar,蝴蝶,item_butterfly,,
ch15,15,第15关 · 精英检查,3,英雄,斯拉克,npc_dota_hero_slark,1,19,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,5,动力鞋；净魂之刃；阿哈利姆神杖；黑皇杖；斯嘉蒂之眼,item_power_treads；item_diffusal_blade；item_ultimate_scepter；item_black_king_bar；item_skadi,levels/ch15/enemies/3,动力鞋,item_power_treads,净魂之刃,item_diffusal_blade,阿哈利姆神杖,item_ultimate_scepter,黑皇杖,item_black_king_bar,斯嘉蒂之眼,item_skadi,,
ch15,15,第15关 · 精英检查,4,英雄,巨魔战将,npc_dota_hero_troll_warlord,1,19,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,5,动力鞋；狂战斧；夜叉；黑皇杖；撒旦之邪力,item_power_treads；item_bfury；item_yasha；item_black_king_bar；item_satanic,levels/ch15/enemies/4,动力鞋,item_power_treads,狂战斧,item_bfury,夜叉,item_yasha,黑皇杖,item_black_king_bar,撒旦之邪力,item_satanic,,
ch15,15,第15关 · 精英检查,5,英雄,杰奇洛,npc_dota_hero_jakiro,1,19,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,5,奥术鞋；原力法杖；微光披风；Eul的神圣法杖；阿哈利姆神杖,item_arcane_boots；item_force_staff；item_glimmer_cape；item_cyclone；item_ultimate_scepter,levels/ch15/enemies/5,奥术鞋,item_arcane_boots,原力法杖,item_force_staff,微光披风,item_glimmer_cape,Eul的神圣法杖,item_cyclone,阿哈利姆神杖,item_ultimate_scepter,,
ch16,16,第16关 · 野怪讨伐,1,野怪,霜害傀儡,npc_dota_neutral_frostbitten_golem,3,21,simple_nearest,最近目标（野怪）,,否,standard,6,3.5,30,62,15,,,,,,,,,0,,,levels/ch16/enemies/1,,,,,,,,,,,,
ch16,16,第16关 · 野怪讨伐,2,野怪,寒冰萨满,npc_dota_neutral_ice_shaman,2,21,focus_lowest_hp,优先最低生命,,否,specialist,6,3.5,30,62,15,,,,,,,,,0,,,levels/ch16/enemies/2,,,,,,,,,,,,
ch16,16,第16关 · 野怪讨伐,3,野怪,花岗岩傀儡,npc_dota_neutral_granite_golem,2,21,aggro_front,前排近距攻击,,否,elite,6,3.5,30,62,15,,,,,,,,,0,,,levels/ch16/enemies/3,,,,,,,,,,,,
ch17,17,第17关 · 英雄遭遇,1,英雄,噬魂鬼,npc_dota_hero_life_stealer,1,21,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,5,相位鞋；莫尔迪基安的臂章；辉耀；散夜对剑；碎颅锤,item_phase_boots；item_armlet；item_radiance；item_sange_and_yasha；item_basher,levels/ch17/enemies/1,相位鞋,item_phase_boots,莫尔迪基安的臂章,item_armlet,辉耀,item_radiance,散夜对剑,item_sange_and_yasha,碎颅锤,item_basher,,
ch17,17,第17关 · 英雄遭遇,2,英雄,熊战士,npc_dota_hero_ursa,1,21,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,5,相位鞋；狂战斧；闪烁匕首；黑皇杖；碎颅锤,item_phase_boots；item_bfury；item_blink；item_black_king_bar；item_basher,levels/ch17/enemies/2,相位鞋,item_phase_boots,狂战斧,item_bfury,闪烁匕首,item_blink,黑皇杖,item_black_king_bar,碎颅锤,item_basher,,
ch17,17,第17关 · 英雄遭遇,3,英雄,敌法师,npc_dota_hero_antimage,1,21,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,5,动力鞋；狂战斧；夜叉；碎颅锤；斯嘉蒂之眼,item_power_treads；item_bfury；item_yasha；item_basher；item_skadi,levels/ch17/enemies/3,动力鞋,item_power_treads,狂战斧,item_bfury,夜叉,item_yasha,碎颅锤,item_basher,斯嘉蒂之眼,item_skadi,,
ch17,17,第17关 · 英雄遭遇,4,英雄,幻影长矛手,npc_dota_hero_phantom_lancer,1,21,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,5,动力鞋；净魂之刃；阿哈利姆神杖；夜叉；斯嘉蒂之眼,item_power_treads；item_diffusal_blade；item_ultimate_scepter；item_yasha；item_skadi,levels/ch17/enemies/4,动力鞋,item_power_treads,净魂之刃,item_diffusal_blade,阿哈利姆神杖,item_ultimate_scepter,夜叉,item_yasha,斯嘉蒂之眼,item_skadi,,
ch17,17,第17关 · 英雄遭遇,5,英雄,干扰者,npc_dota_hero_disruptor,1,21,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,5,奥术鞋；闪烁匕首；微光披风；阿哈利姆神杖；原力法杖,item_arcane_boots；item_blink；item_glimmer_cape；item_ultimate_scepter；item_force_staff,levels/ch17/enemies/5,奥术鞋,item_arcane_boots,闪烁匕首,item_blink,微光披风,item_glimmer_cape,阿哈利姆神杖,item_ultimate_scepter,原力法杖,item_force_staff,,
ch18,18,第18关 · 英雄遭遇,1,英雄,混沌骑士,npc_dota_hero_chaos_knight,1,22,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,6,动力鞋；莫尔迪基安的臂章；闪烁匕首；幻影斧；黑皇杖；恐鳌之心,item_power_treads；item_armlet；item_blink；item_manta；item_black_king_bar；item_heart,levels/ch18/enemies/1,动力鞋,item_power_treads,莫尔迪基安的臂章,item_armlet,闪烁匕首,item_blink,幻影斧,item_manta,黑皇杖,item_black_king_bar,恐鳌之心,item_heart
ch18,18,第18关 · 英雄遭遇,2,英雄,圣堂刺客,npc_dota_hero_templar_assassin,1,22,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,动力鞋；黯灭；闪烁匕首；黑皇杖；代达罗斯之殇；飓风长戟,item_power_treads；item_desolator；item_blink；item_black_king_bar；item_greater_crit；item_hurricane_pike,levels/ch18/enemies/2,动力鞋,item_power_treads,黯灭,item_desolator,闪烁匕首,item_blink,黑皇杖,item_black_king_bar,代达罗斯之殇,item_greater_crit,飓风长戟,item_hurricane_pike
ch18,18,第18关 · 英雄遭遇,3,英雄,影魔,npc_dota_hero_nevermore,1,22,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,动力鞋；飓风长戟；幻影斧；黑皇杖；代达罗斯之殇；撒旦之邪力,item_power_treads；item_hurricane_pike；item_manta；item_black_king_bar；item_greater_crit；item_satanic,levels/ch18/enemies/3,动力鞋,item_power_treads,飓风长戟,item_hurricane_pike,幻影斧,item_manta,黑皇杖,item_black_king_bar,代达罗斯之殇,item_greater_crit,撒旦之邪力,item_satanic
ch18,18,第18关 · 英雄遭遇,4,英雄,死亡先知,npc_dota_hero_death_prophet,1,22,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,奥术鞋；风之杖；黑皇杖；散慧对剑；希瓦的守护；玲珑心,item_arcane_boots；item_wind_waker；item_black_king_bar；item_kaya_and_sange；item_shivas_guard；item_octarine_core,levels/ch18/enemies/4,奥术鞋,item_arcane_boots,风之杖,item_wind_waker,黑皇杖,item_black_king_bar,散慧对剑,item_kaya_and_sange,希瓦的守护,item_shivas_guard,玲珑心,item_octarine_core
ch18,18,第18关 · 英雄遭遇,5,英雄,复仇之魂,npc_dota_hero_vengefulspirit,1,22,ai_healer_protect,治疗/保护友军,hero,否,,,,,,,,,,,,,,,6,奥术鞋；原力法杖；微光披风；清莲宝珠；阿哈利姆神杖；永恒之盘,item_arcane_boots；item_force_staff；item_glimmer_cape；item_lotus_orb；item_ultimate_scepter；item_aeon_disk,levels/ch18/enemies/5,奥术鞋,item_arcane_boots,原力法杖,item_force_staff,微光披风,item_glimmer_cape,清莲宝珠,item_lotus_orb,阿哈利姆神杖,item_ultimate_scepter,永恒之盘,item_aeon_disk
ch19,19,第19关 · 英雄遭遇,1,英雄,暗夜魔王,npc_dota_hero_night_stalker,1,23,aggro_front,前排近距攻击,hero,否,,,,,,,,,,,,,,,6,相位鞋；闪烁匕首；鱼叉；黑皇杖；否决坠饰；强袭胸甲,item_phase_boots；item_blink；item_harpoon；item_black_king_bar；item_nullifier；item_assault,levels/ch19/enemies/1,相位鞋,item_phase_boots,闪烁匕首,item_blink,鱼叉,item_harpoon,黑皇杖,item_black_king_bar,否决坠饰,item_nullifier,强袭胸甲,item_assault
ch19,19,第19关 · 英雄遭遇,2,英雄,瘟疫法师,npc_dota_hero_necrolyte,1,23,focus_lowest_hp,优先最低生命,hero,否,,,,,,,,,,,,,,,6,奥术鞋；辉耀；散慧对剑；黑皇杖；恐鳌之心；希瓦的守护,item_arcane_boots；item_radiance；item_kaya_and_sange；item_black_king_bar；item_heart；item_shivas_guard,levels/ch19/enemies/2,奥术鞋,item_arcane_boots,辉耀,item_radiance,散慧对剑,item_kaya_and_sange,黑皇杖,item_black_king_bar,恐鳌之心,item_heart,希瓦的守护,item_shivas_guard
